Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-07-23,671.56,675.67,662.57,674.13,43800,0.0,0
2019-07-24,672.77,681.3,672.28,677.96,41200,0.0,0
2019-07-25,676.19,684.88,675.29,680.27,35700,0.0,0
2019-07-26,680.23,688.97,676.29,688.97,68700,0.0,0
2019-07-29,689.06,691.88,678.82,681.75,74500,0.0,0
2019-07-30,678.62,689.15,678.62,686.38,42800,0.0,0
2019-07-31,687.58,690.02,670.96,671.12,102100,0.0,0
2019-08-01,672.34,689.98,672.34,676.36,102100,0.0,0
2019-08-02,675.22,682.71,675.22,677.3,61100,0.0,0
2019-08-05,670.0,673.07,658.37,660.63,66600,0.0,0
2019-08-06,662.95,680.64,660.29,680.35,72100,0.0,0
2019-08-07,689.98,726.69,682.06,721.97,167200,0.0,0
2019-08-08,727.24,730.64,713.15,722.28,150200,0.0,0
2019-08-09,725.1,743.35,723.01,734.43,71400,0.0,0
2019-08-12,730.44,737.98,728.7,728.7,41500,0.0,0
2019-08-13,726.39,740.24,724.41,737.47,102600,0.0,0
2019-08-14,730.45,736.91,718.06,721.38,57100,0.0,0
2019-08-15,724.02,731.45,722.25,727.25,59400,0.0,0
2019-08-16,731.82,738.33,727.31,734.67,71100,0.0,0
2019-08-19,740.12,750.66,740.12,749.35,120700,0.0,0
2019-08-20,745.26,746.44,731.26,731.26,59000,0.0,0
2019-08-21,735.56,737.99,729.4,731.31,65000,0.0,0
2019-08-22,733.22,741.07,730.25,737.91,54000,0.0,0
2019-08-23,736.9,743.74,721.26,722.9,77400,0.0,0
2019-08-26,727.82,734.72,723.89,734.13,73900,0.0,0
2019-08-27,737.92,738.6,727.78,729.02,64400,0.0,0
2019-08-28,727.74,729.75,721.53,727.83,64100,0.0,0
2019-08-29,732.93,737.16,730.75,734.56,72300,0.0,0
2019-08-30,738.57,738.57,726.17,733.34,74300,0.0,0
2019-09-03,727.73,738.03,727.73,736.82,51800,0.0,0
2019-09-04,742.78,745.97,738.86,745.34,52300,0.0,0
2019-09-05,753.82,781.7,753.5,754.66,109800,0.0,0
2019-09-06,758.0,770.72,756.78,763.4,73900,0.0,0
2019-09-09,768.07,771.73,753.76,755.78,54600,0.0,0
2019-09-10,756.47,758.35,747.73,754.4,70600,0.0,0
2019-09-11,757.01,757.01,745.52,749.01,51900,0.0,0
2019-09-12,750.72,756.49,750.36,753.34,44000,0.0,0
2019-09-13,758.07,758.07,748.59,755.13,56700,0.0,0
2019-09-16,749.82,754.86,742.6,747.98,43700,0.0,0
2019-09-17,748.08,758.05,747.54,758.05,53400,0.0,0
2019-09-18,756.85,767.17,754.57,765.91,61900,0.0,0
2019-09-19,766.75,773.18,759.2,761.53,42800,0.0,0
2019-09-20,759.67,762.95,752.93,756.01,121700,0.0,0
2019-09-23,754.54,765.43,754.54,761.71,44800,0.0,0
2019-09-24,763.74,774.4,763.74,764.07,46800,0.0,0
2019-09-25,764.0,785.47,764.0,778.75,72500,0.0,0
2019-09-26,778.24,785.19,763.99,780.9,34200,0.0,0
2019-09-27,782.04,783.15,772.36,777.33,40000,0.0,0
2019-09-30,777.96,781.59,775.68,780.76,36500,0.0,0
2019-10-01,785.74,791.27,776.47,780.39,58400,0.0,0
2019-10-02,776.72,776.72,758.52,766.11,43100,0.0,0
2019-10-03,767.29,771.57,764.5,769.24,32000,0.0,0
2019-10-04,770.77,778.64,769.25,776.74,37200,0.0,0
2019-10-07,773.45,775.71,762.9,768.05,45900,0.0,0
2019-10-08,764.21,764.21,744.01,745.84,59800,0.0,0
2019-10-09,749.87,757.32,747.96,752.15,42300,0.0,0
2019-10-10,752.93,757.49,749.51,753.61,35800,0.0,0
2019-10-11,760.24,760.86,751.58,755.05,29800,0.0,0
2019-10-14,751.24,753.09,746.28,749.48,31800,0.0,0
2019-10-15,750.66,763.16,750.66,761.32,47300,0.0,0
2019-10-16,757.51,757.51,748.84,753.83,36100,0.0,0
2019-10-17,753.99,758.04,742.78,757.25,56100,0.0,0
2019-10-18,755.14,766.1,755.14,764.22,53700,0.0,0
2019-10-21,770.18,773.72,762.62,764.36,30200,0.0,0
2019-10-22,761.83,763.57,745.69,745.69,30800,0.0,0
2019-10-23,743.9,750.75,741.38,750.32,32800,0.0,0
2019-10-24,750.96,756.11,747.92,749.48,31300,0.0,0
2019-10-25,751.6,753.64,736.62,741.54,33700,0.0,0
2019-10-28,743.8,747.01,728.55,729.35,53500,0.0,0
2019-10-29,729.01,750.6,728.56,746.66,39700,0.0,0
2019-10-30,747.09,754.68,744.46,749.19,40400,0.0,0
2019-10-31,747.98,767.82,745.12,761.7,71600,0.0,0
2019-11-01,767.84,767.84,751.3,752.48,40600,0.0,0
2019-11-04,754.56,754.56,738.62,741.92,43400,0.0,0
2019-11-05,742.95,747.23,732.99,740.11,79500,0.0,0
2019-11-06,745.16,763.25,743.8,759.89,47400,0.0,0
2019-11-07,764.33,766.45,753.41,760.24,53400,0.0,0
2019-11-08,759.98,761.6,753.81,758.78,35100,0.0,0
2019-11-11,754.77,765.23,754.77,763.82,27700,0.0,0
2019-11-12,763.34,769.19,757.94,764.78,41700,0.0,0
2019-11-13,762.69,775.36,762.69,768.47,53600,0.0,0
2019-11-14,768.47,769.89,766.38,767.29,42200,0.0,0
2019-11-15,767.49,767.49,747.3,753.63,74200,0.0,0
2019-11-18,753.56,767.9,748.2,766.56,48500,0.0,0
2019-11-19,761.82,774.48,761.72,768.38,52300,0.0,0
2019-11-20,767.94,780.42,767.94,776.28,87100,0.0,0
2019-11-21,777.61,777.61,764.08,768.95,58300,0.0,0
2019-11-22,771.21,774.7,765.32,772.6,40000,0.0,0
2019-11-25,774.23,775.82,762.48,762.95,48700,0.0,0
2019-11-26,762.27,777.45,761.9,773.49,240600,0.0,0
2019-11-27,773.72,778.86,769.53,776.38,26500,0.0,0
2019-11-29,774.66,777.21,763.42,763.42,22900,0.0,0
2019-12-02,766.21,766.21,757.43,762.46,49600,0.0,0
2019-12-03,760.59,760.59,747.06,754.03,57800,0.0,0
2019-12-04,753.57,765.0,753.57,762.66,54500,0.0,0
2019-12-05,763.58,770.99,762.1,767.38,35500,0.0,0
2019-12-06,774.55,780.11,771.37,776.73,52100,0.0,0
2019-12-09,775.14,776.99,770.92,775.21,35700,0.0,0
2019-12-10,773.62,776.42,767.4,773.36,27700,0.0,0
2019-12-11,773.58,776.02,768.93,771.24,29000,0.0,0
2019-12-12,770.45,781.91,768.54,780.86,47500,0.0,0
2019-12-13,779.54,780.99,768.86,777.74,58900,0.0,0
2019-12-16,780.93,786.72,775.62,779.32,45800,0.0,0
2019-12-17,780.47,784.76,777.34,784.76,40500,0.0,0
2019-12-18,782.65,783.91,775.23,776.21,99400,0.0,0
2019-12-19,779.04,788.95,771.26,784.4,57400,0.0,0
2019-12-20,788.05,795.28,777.62,781.59,201300,0.0,0
2019-12-23,783.01,783.75,775.08,777.56,47100,0.0,0
2019-12-24,777.66,779.92,774.64,774.64,25800,0.0,0
2019-12-26,776.68,782.35,773.23,776.84,33300,0.0,0
2019-12-27,779.28,782.81,776.0,777.77,41800,0.0,0
2019-12-30,779.03,786.08,775.23,784.92,38700,0.0,0
2019-12-31,783.46,789.6,780.95,782.53,48700,0.0,0
2020-01-02,786.25,792.48,779.3,792.48,58100,0.0,0
2020-01-03,788.53,797.46,782.76,788.36,40500,0.0,0
2020-01-06,782.99,791.45,782.99,788.94,60700,0.0,0
2020-01-07,787.32,787.32,781.48,781.8,50500,0.0,0
